,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
Trap 1,3.8308305240576153,2.0205034785625178,0.8162516047867735,0.023891625023617545,8.874180692984343e-07,9.480480129026313e-07,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 1,3.838624237073433,2.106050815191874,0.8162516047867735,0.023891625023617545,8.874180692984343e-07,9.480480129026313e-07,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 1,3.8457101103718805,2.1846004281152966,0.8162516047867735,0.023891625023617545,8.874180692984343e-07,9.480480129026313e-07,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 1,3.8532675709001234,2.256659848621581,0.8162516047867735,0.023891625023617545,8.874180692984343e-07,9.480480129026313e-07,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 1,3.860854793251226,2.3233432332611947,0.8162516047867735,0.023891625023617545,8.874180692984343e-07,9.480480129026313e-07,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 1,3.867873443180939,2.385668628143538,0.8162516047867735,0.023891625023617545,8.874180692984343e-07,9.480480129026313e-07,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 1,3.8755183505793904,2.4435949080718484,0.8162516047867735,0.023891625023617545,8.874180692984343e-07,9.480480129026313e-07,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 2,3.489914148111956,1.675379825669038,0.37332633954457756,0.01747432529048869,8.241885110087675e-16,5.910115236085221e-16,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 2,3.5085257174935096,1.725366816193197,0.37332633954457756,0.01747432529048869,8.241885110087675e-16,5.910115236085221e-16,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 2,3.520630897056752,1.7756366823674041,0.37332633954457756,0.01747432529048869,8.241885110087675e-16,5.910115236085221e-16,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 2,3.5270880361173815,1.826039108105466,0.37332633954457756,0.01747432529048869,8.241885110087675e-16,5.910115236085221e-16,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 2,3.533069530808366,1.8739435528757455,0.37332633954457756,0.01747432529048869,8.241885110087675e-16,5.910115236085221e-16,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 2,3.545722086302876,1.91558414867383,0.37332633954457756,0.01747432529048869,8.241885110087675e-16,5.910115236085221e-16,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 2,3.5584655896377484,1.9549289704756487,0.37332633954457756,0.01747432529048869,8.241885110087675e-16,5.910115236085221e-16,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 2,3.5645540742853066,1.9959616039624446,0.37332633954457756,0.01747432529048869,8.241885110087675e-16,5.910115236085221e-16,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
Trap 2,3.577305573442083,2.0313793739117108,0.37332633954457756,0.01747432529048869,8.241885110087675e-16,5.910115236085221e-16,2021-10-21-15-00-57,27/05/2021,1013,2,False,1,0,1,460,14,80,350,5
